a	aː
akten	ɑktən
aktie	ɑksjə
aktien	ɑksjən
aktiecours	ɑksjəkuːɐ
aktiecoursen	ɑksjəkuːəʀən
aktiegesellschaft	ɑksjəgəsælʃɑft
aktiegesellschaften	ɑksjəgəsælʃɑftən
aktionär	ɑksjoːnɛːʀ
aktionären	ɑksjoːnɛːʀən
aktionärin	ɑksjoːnɛːʀin
aktionärinnen	ɑksjoːnɛːʀinən
aktionärsversammlung	ɑksjoːnɛːʀsfɐzɑmluŋ
aktionärsversammlungen	ɑksjoːnɛːʀsfɐzɑmluŋən
aktioun	ɑksjəʊn
aktiounen	ɑksjəʊnən
aktiounsplang	ɑksjəʊnsplɑŋ
aktiounspläng	ɑksjəʊnsplæŋ
aktiounsprogramm	ɑksjəʊnspʀogʀɑm
aktiounsprogrammen	ɑksjəʊnspʀogʀɑmən
aktiv	ɑktiːf
aktivéieren	ɑktivɜɪəʀən
aktivéiert	ɑktiːvɜɪɐt
aktivismus	ɑktivismus
aktivist	ɑktivist
aktivisten	ɑktivistən
aktivistin	ɑktivistin
aktivistinnen	ɑktivistinən
aktivitéit	ɑktivitɜɪt
aktivitéiten	ɑktivitɜɪtən
aktualiséieren	ɑktwaːlizɜɪəʀən
aktualiséiert	ɑktwaːlizɜɪɐt
aktualiséierung	ɑktwaːlizɜɪəʀuŋ
aktualiséierungen	ɑktwaːlizɜɪəʀuŋən
aktualitéit	ɑktwɑlitɜɪt
aktualitéiten	ɑktwɑlitɜɪtən
aktuell	ɑktwæl
akupunktur	ɑkupuŋktuːʀ
akustesch	ɑkustəʃ
akustik	ɑkustik
akustiken	ɑkustikən
akut	ɑkuːt
akzent	ɑktsænt
akzenter	ɑktsæntɐ
akzeptabel	ɑktsæptaːbəl
akzeptanz	ɑktsæptɑnts
akzeptéieren	ɑktsæptɜɪəʀən
akzeptéiert	ɑktsæptɜɪɐt
al	aːl
aläert	ɑlɛːɐt
alafen	ɑlaːfən
agelaf	ɑgəlaːf
alarm	ɑlaːʀm
alarmanlag	ɑlaːʀmɑnlaːχ
alarmanlagen	ɑlaːʀmɑnlaːʁən
alarmant	ɑlaːʀmɑnt
alarméieren	ɑlaːʀmɜɪəʀən
alarméiert	ɑlaːʀmɜɪɐt
alauden	ɑlɑʊdən
agelaut	ɑgəlæːʊt
albaner	ɑlbɑnɐ
albanerin	ɑlbɑnəʀin
albanerinnen	ɑlbɑnəʀinən
albanesch	ɑlbɑnəʃ
albanien	ɑlbɑnjən
album	ɑlbum
albumen	ɑlbumən
aleeden	ɑleːdən
ageleet	ɑgəleːt
aleedung	ɑleːduŋ
aleedungen	ɑleːduŋən
aleeën	ɑleːən
ageluecht	ɑgæluəɕt
aléisen	ɑlɜɪzən
ageléist	ɑgælɜɪst
alenken	ɑlæŋkən
agelenkt	ɑgəlæŋkt
alertéieren	ɑlæʀtɜɪəʀən
alertéiert	ɑlæʀtɜɪɐt
alg	ɑlɕ
algen	ɑlʑən
algeresch	ɑlʒeːʀəʃ
algerien	ɑlʒeːʀiːən
algerier	ɑlʒeːʀiːɐ
algerierin	ɑlʒeːʀiəʀin
algerierinnen	ɑlʒeːʀiːʀinən
alibi	aːlibiː
alibien	aːlibiːən
aliewen	ɑliəvən
agelieft	ɑgæliəft
aliichten	ɑliːɕtən
ageliicht	ɑgəliːɕt
alimentatioun	ɑlimɑ̃ːtatsjəʊn
alimenten	ɑlimɑ̃ːən
alimenter	ɑlimæntɐ
aliwweren	ɑlivəʀən
ageliwwert	ɑgelivɐt
alkohol	ɑlkohoːl
alkoholen	ɑlkohoːlən
alkoholiker	ɑlkohoːlikɐ
alkoholikerin	ɑlkohoːlikəʀin
alkoholikerinnen	ɑlkohoːlikəʀinən
alkoholiséiert	ɑlkohoːlizɜɪɐt
alkoholismus	ɑlkohoːlismus
alkoholkontroll	ɑlkohoːlkontʀol
alkoholkontrollen	ɑlkohoːlkontʀolən
alkoholtest	ɑlkohoːltæst
alkoholtester	ɑlkohoːltæstɐ
all	ɑl
alldag	ɑldaːχ
alldeeglech	ɑldeːɕləɕ
allee	ɑleː
alleeën	ɑleːən
alleguer	ɑləguːɐ
alleguerten	ɑləguːɐtən
allem	ɑləm
allen	ɑlən
allënster	ɑlənstɐ
aller	ɑlɐ
allerbescht	ɑlɐbəʃt
allerbuer	ɑlɐbuːɐ
allerdéngs	ɑlɐdeŋs
allergesch	ɑlæʀʒəʃ
allergie	ɑlæʀʒiː
allergien	ɑlæʀʒiːən
allergiker	ɑlæʀʒikɐ
allergikerin	ɑlæʀʒikəʀin
allergikerinnen	ɑlæʀʒikəʀinən
allerhand	ɑlɐhɑnt
allerhellegen	ɑlɐhæləʑən
allerhellegevakanz	ɑlɐhæləʑəvɑkɑnts
allerhellegevakanzen	ɑlɐhæləʑəvɑkɑntsən
allerlee	ɑlɐleː
retour	ʀətuːʀ
retouren	ʀətuːʀən
allerséilen	ɑlɐzɜɪlən
alles	ɑləs
allgemeng	ɑlgəmæŋ
allgemengbildung	ɑlgəmæŋbilduŋ
allgemengheet	ɑlgəmæŋheːt
allgemengheeten	ɑlgəmæŋheːtən
allheelmëttel	ɑlheːlmətəl
allianz	ɑljɑnts
allianzen	ɑljɑntsən
alliéiert	ɑljɜɪɐt
alljäerlech	ɑljɛːɐləɕ
alljoers	ɑljoːɐs
allkéiers	ɑlkɜɪɐs
allmächteg	ɑlmæɕtəɕ
allméiglech	ɑlmɜɪʑləɕ
allocatioun	ɑlokatsjəʊn
allocatiounen	ɑlokatsjəʊnən
allokatioun	ɑloːkatsjəʊn
allokatiounen	ɑloːkatsjəʊnən
allür	ɑlyːʀ
allüren	ɑlyːʀən
allure	ɑlyːʀə
alluren	ɑlyːʀən
allusioun	ɑlusjəʊn
allusiounen	ɑlusjəʊnən
allzäit	ɑltsæːɪt
allze	ɑltsə
almosen	ɑlmoːzən
almoudesch	aːlməʊdəʃ
aloggen	ɑlogən
ageloggt	ɑgəloːʁɕt
aloossen	ɑloːsən
agelooss	ɑgəloːs
alphabet	ɑlfabeːt
alphabeten	ɑlfabeːtən
alphabetesch	ɑlfabeːtəʃ
alphabetisatioun	ɑlfabeːtizatsjəʊn
alphabetiséieren	ɑlfabeːtizɜɪəʀən
alphabetiséiert	ɑlfabeːtizɜɪɐt
alphabetiséierung	ɑlfabeːtizɜɪəʀuŋ
alpinist	ɑlpinist
alpinisten	ɑlpinistən
alpinistin	ɑlpinistin
alpinistinnen	ɑlpinistinən
alrodeschhaff	aːlʀoːdəʃhɑf
als	ɑls
alschent	ɑlʃənt
also	ɑlzoː
alstad	ɑlʃtaːt
alstied	ɑlʃtiət
alt	ɑlt
alten	ɑltən
altbausanéierung	ɑltbæːʊzɑnɜɪəʀuŋ
altbausanéierungen	ɑltbæːʊzɑnɜɪəʀuŋən
alter	ɑltɐ
älter	æltɐ
älteren	æltəʀən
alternativ	ɑltɛɐnatiːf
alternativen	ɑltɛɐnatiːvən
alternative	ɑltɛɐnatiːvə
altersgrenz	ɑltɐsgʀænts
altersheem	ɑltɐsheːm
altersheemer	ɑltɐsheːmɐ
altersheim	ɑltɐshɑɪm
altersheimer	ɑltɐshɑɪmɐ
altertum	ɑltɐtum
altess	ɑltæs
altessen	ɑltæsən
altesse	ɑltæsə
altor	ɑltoːʀ
altär	ɑltɛːʀ
altwis	ɑltviː
alueden	ɑluədən
agelueden	ɑgæluədən
aluedung	ɑluəduŋ
aluedungen	ɑluəduŋən
aluminium	ɑluminjum
alzeng	ɑltseŋ
am	ɑm
amaachen	ɑmaːχən
agemaach	ɑgemaːχ
amaachglas	ɑmaːχglaːs
amaachglieser	ɑmaːχgliəzɐ
amaachglieschen	ɑmaːχgliəsjən
amaachgliesercher	ɑmaːχgliəzɐɕɐ
amant	ɑmɑ̃ː
amanten	ɑmɑ̃ːən
amarsch	ɑmaːʀʃ
amärsch	ɑmɛːɐʃ
amarschéieren	ɑmaːʀʃɜɪəʀən
amarschéiert	ɑmaːʀʃɜɪɐt
amateur	ɑmɑtœːʀ
amateuren	ɑmɑtœːʀən
amateurin	ɑmɑtœːʀin
amateurinnen	ɑmɑtœːʀinən
amateurismus	ɑmɑtœːʀismus
amatrice	ɑmɑtʀis
amatricen	ɑmɑtʀisən
amaueren	ɑmɑʊəʀən
agemauert	ɑgemɑʊɐt
ambassade	ɑ̃ːmbɑsaːt
ambassaden	ɑ̃ːmbɑsaːdən
ambassadeur	ɑ̃ːmbɑsɑdœːʀ
ambassadeuren	ɑ̃ːmbɑsɑdœːʀən
ambassadrice	ɑ̃ːmbɑsaːdʀis
ambassadricen	ɑ̃ːmbɑsaːdʀisən
amber	ɑmbɐ
ambiance	ɑ̃ːmbiɑ̃ːs
ambiancen	ɑ̃ːmbiɑ̃ːsən
ambigu	ɑ̃ːmbigyː
ambiguitéit	ɑ̃ːmbigyːitɜɪt
ambiguitéiten	ɑ̃ːmbigyːitɜɪtən
ambitiéis	ɑ̃ːmbisjɜɪs
ambitioun	ɑ̃ːmbisjəʊn
ambitiounen	ɑ̃ːmbisjəʊnən
amboss	ɑmbos
ambossen	ɑmbosən
ambulant	ɑmbulɑnt
ambulanz	ɑmbulɑnts
ambulanzen	ɑmbulɑntsən
ameis	ɑmɑɪs
ameisen	ɑmɑɪzən
amelioratioun	ɑmeljoʀatsjəʊn
amelioratiounen	ɑmeljoʀatsjəʊnən
amen	ɑmen
amenagéieren	ɑmenaʒɜɪəʀən
amenagéiert	ɑmenaʒɜɪɐt
amenagement	ɑmenaʒəmænt
amenagementer	ɑmenaʒəmæntɐ
amendéieren	ɑmɑ̃ːndɜɪəʀən
amendéiert	ɑmɑ̃ːndɜɪɐt
amendement	ɑmɑ̃ːndəmɑ̃ː
amendementen	ɑmɑ̃ːndəmɑ̃ːən
ament	ɑmænt
amenter	ɑmæntɐ
amerika	ɑmeːʀikaː
amerikaner	ɑmeːʀikaːnɐ
amerikanerin	ɑmeːʀikaːnəʀin
amerikanerinnen	ɑmeːʀikaːnəʀinən
amerikanesch	ɑmeːʀikaːnəʃ
amëschen	ɑməʃən
agemëscht	ɑgəməʃt
ameséieren	ɑməzɜɪəʀən
ameséiert	ɑməzɜɪɐt
amicale	ɑmikɑlə
amicallen	ɑmikɑlən
aminosaier	ɑmiːnoːzɑɪɐ
aminosaieren	ɑmiːnoːzɑɪəʀən
ammoniak	ɑmonjaːk
amnesie	ɑmnesiː
amnestie	ɑmnæstiː
amnestien	ɑmnæstiːən
amok	aːmok
amoklaf	aːmoklaːf
amokleef	aːmokleːf
amokleefer	aːmokleːfɐ
amokleeferin	aːmokleːfəʀin
amokleeferinnen	aːmokleːfəʀinən
amortiséieren	ɑmɔʀtizɜɪəʀən
amortiséiert	ɑmɔʀtizɜɪɐt
ampère	ɑ̃ːpɛːʀ
ampèremeter	ɑ̃ːpɛːʀmeːtɐ
ampèremeteren	ɑ̃ːpɛːʀmeːtəʀən
amplaz	ɑmplaːts
ampull	ɑmpul
ampullen	ɑmpulən
amputéieren	ɑmputɜɪəʀən
amputéiert	ɑmputɜɪɐt
amstand	ɑmʃtɑnt
amt	ɑmt
ämter	ɛːmtɐ
amtlech	ɑmtləɕ
amtszäit	ɑmtstsæːɪt
amtszäiten	ɑmtstsæːɪtən
amusant	ɑmuzɑnt
amüsant	ɑmysɑnt
amuséieren	ɑmuzɜɪəʀən
amuséiert	ɑmuzɜɪɐt
amusement	ɑmuzəmænt
amusementer	ɑmuzəmæntɐ
an	ɑn
anachronismus	ɑnɑkʀonismus
anachronismen	ɑnɑkʀonismən
anachronistesch	ɑnɑkʀonistəʃ
anal	ɑnaːl
analog	ɑnaloːk
analogie	ɑnaloʒiː
analogien	ɑnaloʒiːən
analphabet	ɑnalfabeːt
analphabeten	ɑnalfabeːtən
analphabetin	ɑnalfabeːtin
analphabetinnen	ɑnalfabeːtinən
analys	ɑnaːliːs
analysen	ɑnaliːzən
analyse	ɑnaliːzə
analyséieren	ɑnaliːzɜɪəʀən
analyséiert	ɑnaliːzɜɪɐt
analytiker	ɑnalitikɐ
analytikerin	ɑnalitikəʀin
analytikerinnen	ɑnalitikəʀinən
ananas	ɑnanaːs
ananassen	ɑnanaːsən
anarchie	ɑnaʀɕiə
anarchist	ɑnaʀɕist
anarchisten	ɑnaʀɕistən
anarchistesch	ɑnaʀɕistəʃ
anarchistin	ɑnaʀɕistin
anarchistinnen	ɑnaʀɕistinən
anäscheren	ɑnæʃəʀən
ageäschert	ɑgeæʃɐt
anäscherung	ɑnæʃəʀuŋ
anäscherungen	ɑnæʃəʀuŋən
anästhesie	ɑnæsteziː
anästhesien	ɑnæsteziːən
anästhesist	ɑnæstesist
anästhesisten	ɑnæstesistən
anästhesistin	ɑnæstesistin
anästhesistinnen	ɑnæstesistinən
anatomie	ɑnatomiː
anatomien	ɑnatomiːən
anchecken	ɑntʃækən
agecheckt	ɑgetʃækt
anchois	ɑ̃ːʃwɑ
anchoisen	ɑ̃ːʃwɑən
anciennetéit	ɑ̃ːsjænətɜɪt
andacht	ɑndɑχt
andachten	ɑndɑχtən
andächteg	ɑndæɕtəɕ
andämmen	ɑndæmən
agedämmt	ɑgədæmt
andauernd	ɑndɑʊɐnt
andecken	ɑndækən
agedeckt	ɑgədækt
andeelen	ɑndeːlən
agedeelt	ɑgədeːlt
andeelung	ɑndeːluŋ
andeelungen	ɑndeːluŋən
andeem	ɑndeːm
andeems	ɑndeːms
andorra	ɑndoːʀʀaː
andorraner	ɑndoːʀʀaːnɐ
andorranerin	ɑndoːʀʀaːnəʀin
andorranerinnen	ɑndoːʀʀaːnəʀinən
andorranesch	ɑndoːʀʀaːnəʃ
andrécken	ɑndʀekən
agedréckt	ɑgədʀekt
andréien	ɑndʀɜɪən
agedréit	ɑgədʀɜɪt
andréinen	ɑndʀɜɪnən
agedréint	ɑgədʀɜɪnt
andreiwen	ɑndʀɑɪvən
agedriwwen	ɑgədʀivən
androck	ɑndʀok
andréck	ɑndʀek
androen	ɑndʀoːən
agedroen	ɑgədʀoːən
anekdot	ɑnækdoːt
anekdoten	ɑnækdoːtən
anemie	ɑnemiː
anenaner	ɑnənaːnɐ
anenanerrennen	ɑnənɑnæʀænən
anenanergerannt	ɑnənɑnɐʑəʀɑnt
aneneen	ɑnəneːn
aneneerennen	ɑnəneːʀænən
aneneegerannt	ɑnəneːʑəʀɑnt
anengen	ɑnæŋən
agëengt	ɑʒəeŋt
aner	aːnɐ
anerem	aːnəʀəm
aneren	aːnəʀən
anerer	aːnəʀɐ
anerersäits	aːnəʀɐzæːɪts
aneres	aːnəʀəs
anersäits	ɑnɐzæːɪts
anert	ɑnɐt
anerwäerts	ɑnɐvɛːɐts
anescht	aːnəʃt
angab	ɑngaːp
angaben	ɑngaːbən
angebot	ɑngəboː
angeboter	ɑngəbotɐ
angelduerf	ɑngəlduːɐf
angenehm	ɑngəneːm
angine	ɑ̃ːʒin
anginnen	ɑ̃ːʒinən
angola	ɑngoːlaː
angolaner	ɑngoːlaːnɐ
angolanerin	ɑngoːlaːnəʀin
angolanerinnen	ɑngoːlaːnəʀinən
angolanesch	ɑngoːlaːnəʃ
angscht	ɑŋʃt
ängschten	æŋʃtən
ängschterlech	æŋʃtɐləɕ
ängschtlech	æŋʃtləɕ
anhaen	ɑnhaːən
agehaen	ɑgəhaːən
anhalen	ɑnhaːlən
agehalen	ɑgəhaːlən
anhang	ɑnhɑŋ
anhänken	ɑnhæŋkən
agehaangen	ɑgəhaːŋən
anhuelen	ɑnhuələn
aniichter	ɑniːɕtɐ
animateur	ɑnimatœːʀ
animateuren	ɑnimatœːʀən
animatioun	ɑnimatsjəʊn
animatrice	ɑnimatʀis
animatricen	ɑnimatʀisən
animéieren	ɑnimɜɪəʀən
animéiert	ɑnimɜɪɐt
animositéit	ɑnimozitɜɪt
animositéiten	ɑnimozitɜɪtən
anker	ɑŋkɐ
ankeren	ɑŋkəʀən
anlag	ɑnlaːχ
anlagen	ɑnlaːʁən
annäipen	ɑnnæːɪpən
agenäipt	ɑgənæːɪpt
annalen	ɑnaːlən
annektéieren	ɑnæktɜɪəʀən
annektéiert	ɑnæktɜɪɐt
annektéierung	ɑnæktɜɪəʀuŋ
annektéierungen	ɑnæktɜɪəʀuŋən
änneren	ænəʀən
geännert	gəænɐt
annerhallef	ɑnɐhɑləf
ännerung	ænəʀuŋ
ännerungen	ænəʀuŋən
annex	ɑnæks
annexen	ɑnæksən
annexe	ɑnæksə
annexéieren	ɑnæksɜɪəʀən
annexéiert	ɑnæksɜɪɐt
annexioun	ɑnæksjəʊn
annexiounen	ɑnæksjəʊnən
anniversaire	ɑnivæʀsɛːʀ
anniversairen	ɑnivæʀsɛːʀən
anno	ɑnoː
annonce	ɑnɑ̃ːs
annoncen	ɑnɑ̃ːsən
annoncéieren	ɑnɑ̃ːsɜɪəʀən
annoncéiert	ɑnɑ̃ːsɜɪɐt
annotatioun	ɑntatsjəʊn
annotatiounen	ɑntatsjəʊnən
annulatioun	ɑnylatsjəʊn
annulatiounen	ɑnylatsjəʊnən
annuléieren	ɑnylɜɪəʀən
annuléiert	ɑnylɜɪɐt
anomalie	ɑnomaliː
anomalien	ɑnomaliːən
anonym	ɑnonim
anonymitéit	ɑnonimitɜɪt
anootmen	ɑnoːtmən
ageotemt	ɑgeoːtəmt
anorak	ɑnoʀɑk
anoraken	ɑnoʀɑkən
anormal	ɑnɔʀmaːl
anrufbeantworter	ɑnʀufbəɑntvɔʀtɐ
anschaulech	ɑ̃ːsʃoːləɕ
anscheinend	ɑnʃɑɪnənt
anschluss	ɑnʃlus
anstalt	ɑnstɑlt
anstalten	ɑnstɑltən
anstand	ɑnʃtɑnt
anstänneg	ɑnʃtænəɕ
antenn	ɑ̃ːntæn
antennen	ɑ̃ːntænən
antenne	ɑ̃ːntæn
antennebësch	ɑ̃ːntænəbəʃ
antennebëscher	ɑ̃ːntænəbəʃɐ
antennëbësch	ɑ̃ːntænəbəʃ
antennëbëscher	ɑ̃ːntænəbəʃɐ
antennekabel	ɑ̃ːntænəkaːbəl
antennekabelen	ɑ̃ːntænəkaːbələn
antennëkabel	ɑ̃ːntænəkaːbəl
antennëkabelen	ɑ̃ːntænəkaːbələn
antibiotique	ɑntibjotik
antibiotiquen	ɑntibjotikən
antigel	ɑ̃ːtiʒæl
antiguaner	ɑntigwaːnɐ
antiguanerin	ɑntigwaːnəʀin
antiguanerinnen	ɑntigwaːnəʀinən
antiguanesch	ɑntigwaːnəʃ
antik	ɑntik
antipathie	ɑntipɑtiː
antipathien	ɑntipɑtjən
antippen	ɑntipən
agetippt	ɑgetipt
antiquaire	ɑ̃ːtikɛːʀ
antiquairen	ɑ̃ːtikɛːʀən
antiquairin	ɑ̃ːtikɛːʀin
antiquairinnen	ɑ̃ːtikɛːʀinən
antiquaresch	ɑ̃ːntikwaːʀəʃ
antiquitéit	ɑ̃ːntikitɜɪt
antiquitéiten	ɑ̃ːntikitɜɪtən
antisemit	ɑntizemit
antisemitten	ɑntizemitən
antisemitesch	ɑntizemitəʃ
antisemitin	ɑntizemitin
antisemitinnen	ɑntizemitinən
antisemitismus	ɑntizemitismus
antivol	ɑ̃ːntivol
antivollen	ɑ̃ːntivolən
antompen	ɑ̃ːntompən
agetompt	ɑgətompt
antoniushaff	ɑntoːnjushɑf
antreffen	ɑntʀæfən
agetraff	ɑgətʀɑf
antrëppelen	ɑntʀəpələn
agetrëppelt	ɑgətʀəpəlt
antrieden	ɑntʀiədən
agetrueden	ɑgətʀuədən
antriichteren	ɑntʀiːɕtəʀən
agetriichtert	ɑgətʀiːɕtɐt
antroteren	ɑntʀoːtəʀən
agetrotert	ɑgətʀoːtɐt
äntweren	æntvəʀən
geäntwert	gəæntvɐt
äntwert	æntvɐt
äntwerten	æntvɐtən
anung	ɑnuŋ
anzeechnen	ɑntseːɕnən
agezeechent	ɑgətseːɕənt
anzéien	ɑntsɜɪən
agezunn	ɑgətsun
anzementéieren	ɑntsəmæntɜɪəʀən
anzementéiert	ɑntsəmæntɜɪɐt
anzwousch	ɑntswəʊʃ
anzwuersch	ɑntswuːɐʃ
apaart	ɑpaːʀt
apaarti	ɑpaːʀtiː
apaken	ɑpaːkən
agepaakt	ɑgəpɑɑkt
aparken	ɑpɑʀkən
ageparkt	ɑgəpɑʀkt
apassen	ɑpɑsən
agepasst	ɑgəpɑst
apathesch	ɑpaːtəʃ
apdikt	ɑpdikt
apdikten	ɑpdiktən
apdikter	ɑpdiktɐ
apdiktesch	ɑpdiktəʃ
apdikteschen	ɑpdiktəʃən
apechen	ɑpæɕən
agepecht	ɑgəpæɕt
apel	aːpəl
äppel	æpəl
apelbatz	aːpəlbɑts
apelbätz	aːpəlbæts
apendelen	ɑpəndələn
agependelt	ɑgəpændəlt
apennen	ɑpænən
agepennt	ɑgəpænt
aperhoer	aːpɐhoːɐ
aperitif	ɑpeʀitif
aperitiffer	ɑpeʀitifɐ
aplangen	ɑplɑŋən
ageplangt	ɑgəplɑŋt
aplaz	ɑplaːts
aplënneren	ɑplənəʀən
ageplënnert	ɑgəplənɐt
apostel	ɑpostəl
apostelgeschicht	ɑpostəlgəʃiɕt
apostolesch	ɑpostoːləʃ
apostoulesch	ɑpostəʊləʃ
apostroph	ɑpostʀof
apostrophen	ɑpostʀofən
apparat	ɑpɑʀaːt
apparaten	ɑpɑʀaːtən
appartement	ɑpɑʀtəmænt
appartementer	ɑpɑʀtəmæntɐ
appartementshaus	ɑpɑʀtəmæntshæːʊs
appartementshaiser	ɑpɑʀtəmæntshɑɪzɐ
äppelbam	æpəlbaːm
äppelbeem	æpəlbeːm
äppelbeemchen	æpəlbeːmɕən
äppelbeemercher	æpəlbeːmɐɕɐ
äppelchen	æpəlɕən
äppelcher	æpəlɕɐ
äppeldrëpp	æpəldʀəp
äppeldrëppen	æpəldʀəpən
äppeljus	æpəlʒyː
äppeljusen	æpəlʒyːən
äppelkompott	æpəlkompot
äppelkompotten	æpəlkompotən
appell	ɑpæl
appellen	ɑpælən
appelléieren	ɑpælɜɪəʀən
appelléiert	ɑpælɜɪɐt
äppelmous	æpəlməʊs
äppeltaart	æpəltaːʀt
äppeltaarten	æpəltaːʀtən
äppeltäertchen	æpəltɛːɐtɕən
äppeltäertercher	æpəltɛːɐtɐɕɐ
äppeltäsch	æpəltæʃ
äppeltäschen	æpəltæʃən
äppelter	æpəltɐ
appetit	ɑpətit
appetitlech	ɑpətitləɕ
appetitterlech	ɑpətitɐləɕ
applaudéieren	ɑplɑʊdɜɪəʀən
applaudéiert	ɑplɑʊdɜɪɐt
applaus	ɑplɑʊs
applikatioun	ɑplikatsjəʊn
applikatiounen	ɑplikatsjəʊnən
applizéieren	ɑplitsɜɪəʀən
applizéiert	ɑplitsɜɪɐt
appreciatioun	ɑpʀeːsjatsjəʊn
appreciatiounen	ɑpʀeːsjatsjəʊnən
appreciéieren	ɑpʀeːsjɜɪəʀən
appreciéiert	ɑpʀeːsjɜɪɐt
approche	ɑpʀoʃ
approchen	ɑpʀoʃən
approuvéieren	ɑpʀuvɜɪəʀən
approuvéiert	ɑpʀuvɜɪɐt
approvisionéieren	ɑpʀovizjoːnɜɪəʀən
approvisionéiert	ɑpʀovizjoːnɜɪɐt
approximativ	ɑpʀoksimɑtiːf
appui	ɑpɥiː
aprägen	ɑpʀɛːʑən
agepräägt	ɑgəpʀɛːɕt
aprikos	ɑpʀikoːs
aprikosen	ɑpʀikoːzən
aprikosebam	ɑpʀikoːsəbaːm
aprikosebeem	ɑpʀikoːsəbeːm
aprikosegebeess	ɑpʀikoːzəgəbeːs
aprikosegebeesser	ɑpʀikoːzəgəbeːsɐ
aprikosejus	ɑpʀikoːsəʒyː
aprikosejusen	ɑpʀikoːsəʒyːən
aprikosendrëpp	ɑpʀikoːsəndʀəp
aprikosendrëppen	ɑpʀikoːsəndʀəpən
aprogramméieren	ɑpʀogʀɑmɜɪəʀən
aprogramméiert	ɑpʀogʀɑmɜɪɐt
aprouwen	ɑpʀəʊvən
ageprouft	ɑgəpʀəʊft
aquaplaning	ɑkwaːplaːniŋ
aquarell	ɑkwaːʀæl
aquarellen	ɑkwaːʀælən
aquarium	ɑkwaːʀium
aquariumen	ɑkwaːʀiumən
aquartéieren	ɑkwaːʀtɜɪəʀən
aquartéiert	ɑkwaːʀtɜɪɐt
äquator	eːkwaːtoːʀ
äquatorialguinea	eːkwaːtoːʀjaːlgineːaː
äquatorialguineër	eːkwaːtoːʀjaːlgineːɐ
äquatorialguineërin	eːkwaːtoːʀjaːlgineːəʀin
äquatorialguineërinnen	eːkwaːtoːʀjaːlgineːəʀinən
äquatorialguineësch	eːkwaːtoːʀjaːlgineːəʃ
ar	aːʀ
är	ɛːɐ
ära	ɛːʀaː
aräissen	ɑʀæːɪsən
agerass	ɑgəʀɑs
araumen	ɑʀɑʊmən
ageraumt	ɑgeʀɑʊmt
arbitréieren	ɑʀbitʀɜɪəʀən
arbitréiert	ɑʀbitʀɜɪɐt
arbitter	ɑʀbitɐ
arbitteren	ɑʀbitəʀən
arbitterin	ɑʀbitəʀin
arbitterinnen	ɑʀbitəʀinən
arbittesch	ɑʀbitəʃ
arbitteschen	ɑʀbitəʃən
arcade	ɑʀkaːt
arcaden	ɑʀkaːdən
archaesch	ɑʀkaːəʃ
archeolog	ɑʀkeoloːk
archeologen	ɑʀkeoloːgən
archeologesch	ɑʀkeoloːgəʃ
archeologie	ɑʀkeoloːʒiː
archeologin	ɑʀkeoloːgin
archeologinnen	ɑʀkeoloːginən
architekt	ɑʀɕitækt
architekten	ɑʀɕitæktən
architektin	ɑʀɕitæktin
architektinnen	ɑʀɕitæktinən
architektonesch	ɑʀɕitæktoːnəʃ
architektur	ɑʀɕitæktuːɐ
architekturen	ɑʀɕitæktuːʀən
architekturconcours	ɑʀɕitæktuːɐkɑ̃ːkuːɐ
architekturconcoursen	ɑʀɕitæktuːɐkɑ̃ːkuːəʀən
archiv	ɑʀɕiːf
archiven	ɑʀɕivən
archivéieren	ɑʀɕivɜɪəʀən
archivéiert	ɑʀɕivɜɪɐt
archivist	ɑʀɕivist
archivisten	ɑʀɕivistən
archivistin	ɑʀɕivistin
archivistinnen	ɑʀɕivistinən
areal	ɑʀeaːl
arealer	ɑʀeaːlɐ
arechnen	ɑʀæɕnən
agerechent	ɑgəʀæɕənt
aréckelen	ɑʀekələn
ageréckelt	ɑgəʀekəlt
areechen	ɑʀeːɕən
agereecht	ɑgəʀeːɕt
arees	ɑʀeːs
areesen	ɑʀeːzən
agereest	ɑgəʀeːst
areien	ɑʀɑɪən
agereit	ɑgəʀɑɪt
areiwen	ɑʀɑɪvən
ageriwwen	ɑgeʀivən
arel	ɑʀəl
arem	aːʀəm
ärem	ɛːʀəm
aremséileg	aːʀəmsɜɪləɕ
aremséilegkeet	aːʀəmsɜɪləɕkeːt
ären	ɛːʀən
arena	ɑʀænaː
arenaen	ɑʀænaːən
arenken	ɑʀæŋkən
agerenkt	ɑgəʀæŋkt
arennen	ɑʀænən
agerannt	ɑgəʀɑnt
ärer	ɛːʀɐ
ärersäits	ɛːʀɐzæːɪts
arëtzen	ɑʀətsən
agerëtzt	ɑgəʀətst
argentinesch	ɑʀʑæntiːnəʃ
argentinien	ɑʀʑæntiːniːən
argentinier	ɑʀʑæntiːnjeː
argentinierin	ɑʀʑæntiːniəʀin
argentinierinnen	ɑʀʑæntiːnjəʀinən
argument	ɑʀʑumænt
argumenter	ɑʀʑumæntɐ
argumentatioun	ɑʀʑumæntatsjəʊn
argumentatiounen	ɑʀʑumæntatsjəʊnən
argumentéieren	ɑʀʑumæntɜɪəʀən
argumentéiert	ɑʀʑumæntɜɪɐt
arieden	ɑʀiədən
ageriet	ɑgəʀiət
ariichten	ɑʀiːɕtən
ageriicht	ɑgəʀiːɕt
